,dateId,count,B_AXIS_CURR
450,0,1585.0,-2.0264
451,0,1586.0,-1.9516
452,0,1587.0,-1.9516
453,0,1588.0,-1.7884
454,0,1589.0,-1.904
455,0,1590.0,-1.8496
456,0,1591.0,-1.8836
457,0,1592.0,-1.8768
458,0,1593.0,-1.8224
459,0,1594.0,-1.938
460,0,1595.0,-1.7612
461,0,1596.0,-1.904
462,0,1597.0,-1.7271999999999998
463,0,1598.0,-1.836
464,0,1599.0,-2.0128
465,0,1600.0,-1.7475999999999998
466,0,1601.0,-1.802
467,0,1602.0,-2.006
468,0,1603.0,-1.8224
469,0,1604.0,-1.6252
470,0,1605.0,-1.9992
471,0,1606.0,-2.0128
472,0,1607.0,-1.6387999999999998
473,0,1608.0,-1.8292
474,0,1609.0,-2.0876
475,0,1610.0,-1.7068
476,0,1611.0,-1.632
477,0,1612.0,-2.0196
478,0,1613.0,-1.9924
479,0,1614.0,-1.5708
480,0,1615.0,-1.7748
481,0,1616.0,-2.1352
482,0,1617.0,-1.8836
483,0,1618.0,-1.6183999999999998
484,0,1619.0,-1.938
485,0,1620.0,3.7196
486,0,1621.0,8.0784
487,0,1622.0,14.0216
488,0,1623.0,14.3616
489,0,1624.0,14.3752
490,0,1625.0,13.8312
491,0,1626.0,14.844399999999998
492,0,1627.0,14.5112
493,0,1628.0,15.5652
494,0,1629.0,15.0824
495,0,1630.0,9.1256
496,0,1631.0,1.87
497,0,1632.0,-0.2448
498,0,1633.0,-1.9652
499,0,1634.0,-1.3803999999999998
500,0,1635.0,-2.1284
501,0,1636.0,-2.0332
502,0,1637.0,-2.7812
503,0,1638.0,-3.1552
504,0,1639.0,-4.0528
505,0,1640.0,-2.0264
506,0,1641.0,0.7547999999999999
507,0,1642.0,1.5028
508,0,1643.0,1.2648
509,0,1644.0,2.6588
510,0,1645.0,2.6112
511,1,1135.0,1.292
512,1,1136.0,1.0948
513,1,1137.0,1.1083999999999998
514,1,1138.0,1.3192
515,1,1139.0,1.0948
516,1,1140.0,0.8704
517,1,1141.0,0.5508
518,1,1142.0,0.4488
519,1,1143.0,0.408
520,1,1144.0,0.408
521,1,1145.0,0.4012
522,1,1146.0,0.4284
523,1,1147.0,0.5576
524,1,1148.0,0.6188
525,1,1149.0,-0.2176
526,1,1150.0,-0.6392
527,1,1151.0,-0.3944
528,1,1152.0,0.374
529,1,1153.0,1.1764
530,1,1154.0,1.6727999999999998
531,1,1155.0,2.0536
532,1,1156.0,2.2644
533,1,1157.0,2.448
534,1,1158.0,2.5636
535,1,1159.0,2.5704
536,1,1160.0,2.6248
537,1,1161.0,2.6792
538,1,1162.0,2.5976
539,1,1163.0,2.6588
540,1,1164.0,2.6588
541,1,1165.0,2.5976
542,1,1166.0,2.6452
543,1,1167.0,2.6384
544,1,1168.0,2.6316
545,1,1169.0,2.6588
546,1,1170.0,2.7404
547,1,1171.0,2.6112
548,1,1172.0,2.5908
549,1,1173.0,2.6112
550,1,1174.0,2.5364
551,1,1175.0,2.4956
552,1,1176.0,2.4208
553,1,1177.0,6.602799999999999
554,1,1178.0,10.9616
555,1,1179.0,13.0696
556,1,1180.0,14.3412
557,1,1181.0,14.3956
558,1,1182.0,13.9876
559,1,1183.0,15.095999999999998
560,1,1184.0,14.9464
561,1,1185.0,16.551199999999998
562,1,1186.0,15.81
563,1,1187.0,9.248
564,1,1188.0,2.176
565,1,1189.0,-1.2648
566,1,1190.0,-2.5976
567,1,1191.0,-1.6048
568,1,1192.0,-1.0336
569,1,1193.0,-1.6048
570,1,1194.0,-1.9108
571,1,1195.0,-2.176
572,1,1196.0,-2.5568
573,1,1197.0,-1.3056
574,1,1198.0,2.4072
575,1,1199.0,3.5224
576,1,1200.0,3.9236
577,1,1201.0,4.1072
578,1,1202.0,4.2296
579,1,1203.0,4.2908
580,1,1204.0,4.392799999999999
581,1,1205.0,4.42
582,1,1206.0,3.7672
583,1,1207.0,2.6248
584,1,1208.0,2.7812
585,1,1209.0,2.72
586,1,1210.0,2.5772
587,1,1211.0,2.7812
588,1,1212.0,2.8832
589,1,1213.0,2.72
590,1,1214.0,2.5976
591,1,1215.0,2.8696
592,1,1216.0,2.9036
593,1,1217.0,2.5976
594,1,1218.0,2.6588
595,1,1219.0,2.9308
596,1,1220.0,2.89
